"Vandområde","Lokalitetsnavn","Dato","ODA_prøvenummer","ObsSted_bredde","ObsSted_længde","Artsnavn","Artsrække","Antal_stk","Biomasse_vådvægt_g","year","Depth_m","SampleID","TaxaGroup"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",3,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"3,00","2007_3","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",6,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"2,80","2007_6","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",9,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"3,00","2007_9","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",17,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"2,80","2007_17","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",20,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"3,00","2007_20","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",19,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"3,00","2007_19","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",2,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"2,90","2007_2","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",5,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"2,90","2007_5","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",8,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"3,00","2007_8","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",11,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"2,90","2007_11","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",14,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"3,00","2007_14","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",13,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"2,90","2007_13","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",7,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"2,60","2007_7","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",16,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"2,90","2007_16","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",10,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"3,10","2007_10","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",18,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"3,00","2007_18","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",12,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"2,90","2007_12","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",4,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"2,80","2007_4","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",1,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"2,60","2007_1","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",15,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"2,90","2007_15","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",5,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2011,"2,50","2011_5","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",8,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2011,"2,71","2011_8","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",11,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2011,"2,10","2011_11","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",14,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2011,"2,89","2011_14","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",17,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2011,"2,10","2011_17","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",21,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2011,"2,59","2011_21","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",24,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2011,"2,80","2011_24","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",27,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2011,"2,01","2011_27","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",30,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2011,"1,80","2011_30","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",2,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2011,"2,41","2011_2","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",3,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2011,"2,71","2011_3","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",6,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2011,"2,71","2011_6","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",9,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2011,"2,59","2011_9","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",12,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2011,"2,41","2011_12","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",20,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2011,"2,80","2011_20","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",22,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2011,"2,99","2011_22","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",25,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2011,"2,59","2011_25","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",28,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2011,"2,10","2011_28","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",10,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2011,"2,71","2011_10","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",26,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2011,"2,71","2011_26","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",19,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2011,"2,89","2011_19","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",29,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2011,"2,01","2011_29","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",13,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2011,"2,80","2011_13","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",1,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2011,"2,10","2011_1","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",7,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2011,"2,41","2011_7","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",15,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2011,"2,50","2011_15","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",23,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2011,"3,11","2011_23","Orbiniidae"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",18,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2011,"2,71","2011_18","Orbiniidae"
