Nr.,Længde T (cm),Længde S (cm),Vægt (g),Køn,Levervægt (g),Mavevægt (g),Redskab,Lokalitet,Dato,Bytteart,Vægt B(g),Længde B (mm),Antal (ca),Bem.,Størrelse,CF,HSI,Byttedyr familie
9436,10.5,8.9,24.31,M,0.99,0.81,Rejeruse,Guldborgsund,04-Nov,Gammarus locusta,0.05,,1,,Mellem,2.099989202,4.07239819,Amphipoda
9315,13.9,11.9,56.61,M,3.63,2.64,Rejeruse,Guldborgsund,09-Nov,Gasterosteus aculeatus,1.95,59,1,,Stor,2.107893934,6.412294648,Osteichthyes
9333,15,13,50.17,F,1.61,0.91,Rejeruse,Guldborgsund,09-Nov,Gasterosteus aculeatus,0.07,,1,knogler,Stor,1.486518519,3.209089097,Osteichthyes
9409,12.5,10.9,40.27,M,1.83,0.99,Rejeruse,Guldborgsund,04-Nov,Gasterosteus aculeatus,0.14,,1,knolger,Mellem,2.061824,4.544325801,Osteichthyes
9517,10.6,9,22.01,F,1.08,1.48,Rejeruse,Guldborgsund,04-Nov,Gasterosteus aculeatus,0.12,,1,knolger,Mellem,1.848002042,4.906860518,Osteichthyes
9523,13,11,37.61,M,1.77,0.88,Rejeruse,Guldborgsund,04-Nov,Gasterosteus aculeatus,0.26,,1,knolger,Mellem,1.711879836,4.706195161,Osteichthyes
9600,11.5,9.6,22.65,F,0.96,0.74,Rejeruse,Guldborgsund,04-Nov,Gasterosteus aculeatus,0.23,,1,Knolger,Mellem,1.489274266,4.238410596,Osteichthyes
9326,12.6,10.9,34.69,M,1.89,0.7,Rejeruse,Guldborgsund,09-Nov,Hydrobia ventrosa,0.08,,20,,Mellem,1.734173975,5.448255982,Gastropoda
9330,10.8,9.3,22.43,F,1.34,0.37,Rejeruse,Guldborgsund,09-Nov,Hydrobia ventrosa,0.01,,5,,Mellem,1.780565717,5.974141774,Gastropoda
9338,13,11,39.62,M,2.11,0.68,Rejeruse,Guldborgsund,09-Nov,Hydrobia ventrosa,0.04,,8,,Mellem,1.803368229,5.325593135,Gastropoda
9342,12.8,10.9,35.73,F,2.07,0.69,Rejeruse,Guldborgsund,04-Nov,Hydrobia ventrosa,0.01,,5,,Mellem,1.703739166,5.793450882,Gastropoda
9347,14.9,12.5,55.7,M,2.79,2.21,Rejeruse,Guldborgsund,04-Nov,Hydrobia ventrosa,0.09,,10,,Stor,1.683822816,5.008976661,Gastropoda
9356,7.5,6.3,6.97,F,0.21,0.19,Rejeruse,Guldborgsund,04-Nov,Hydrobia ventrosa,0.09,,10,,Små,1.652148148,3.012912482,Gastropoda
9367,11,9.4,24.21,F,1.23,0.62,Rejeruse,Guldborgsund,04-Nov,Hydrobia ventrosa,0.28,,25,,Mellem,1.818933133,5.080545229,Gastropoda
9375,10,8.6,17.18,F,0.8,0.41,Rejeruse,Guldborgsund,04-Nov,Hydrobia ventrosa,0.01,,5,,Små,1.718,4.656577416,Gastropoda
9377,12,10,32.9,F,2.21,1.08,Rejeruse,Guldborgsund,04-Nov,Hydrobia ventrosa,0.09,,15,,Mellem,1.903935185,6.717325228,Gastropoda
9381,13,11,42.82,M,1.58,1.28,Rejeruse,Guldborgsund,04-Nov,Hydrobia ventrosa,0.09,,15,,Mellem,1.949021393,3.689864549,Gastropoda
9385,10,8.6,20.3,F,1.02,0.69,Rejeruse,Guldborgsund,04-Nov,Hydrobia ventrosa,0.1,,10,,Små,2.03,5.024630542,Gastropoda
9390,8.9,7.6,10.36,F,0.52,0.28,Rejeruse,Guldborgsund,04-Nov,Hydrobia ventrosa,0.11,,15,,Små,1.469568165,5.019305019,Gastropoda
9393,15,13,68.51,M,3.06,1.34,Rejeruse,Guldborgsund,04-Nov,Hydrobia ventrosa,0.02,,5,,Stor,2.029925926,4.466501241,Gastropoda
9407,11.3,9.9,23.23,M,0.63,0.53,Rejeruse,Guldborgsund,04-Nov,Hydrobia ventrosa,0.13,,15,,Mellem,1.609955527,2.712010331,Gastropoda
9413,10.5,9,22.61,F,1.1,0.66,Rejeruse,Guldborgsund,04-Nov,Hydrobia ventrosa,0.01,,2,,Mellem,1.95313681,4.865103936,Gastropoda
9416,10,8.6,19.58,F,0.82,0.93,Rejeruse,Guldborgsund,04-Nov,Hydrobia ventrosa,0.01,,3,,Små,1.958,4.187946885,Gastropoda
