"Vandområde","Lokalitetsnavn","Dato","ODA_prøvenummer","ObsSted_bredde","ObsSted_længde","Artsnavn","Artsrække","Antal_stk","Biomasse_vådvægt_g","year","Depth_m"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",3,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"3,00"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",6,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"2,80"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",9,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"3,00"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",17,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"2,80"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",20,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"3,00"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",19,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"3,00"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",2,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"2,90"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",5,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"2,90"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",8,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"3,00"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",11,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"2,90"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",14,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"3,00"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",13,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"2,90"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",7,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"2,60"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",16,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"2,90"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",10,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"3,10"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",18,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"3,00"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",12,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"2,90"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",4,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"2,80"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",1,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"2,60"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",15,"5442,429","1151,764","Scoloplos armiger","Ej kendt",0,"0",2007,"2,90"
"Stege Bugt","Stege Bugt","2009-05-05",3,"5459,998","1213,625","Scoloplos armiger","Ej kendt",0,"0",2009,"2,60"
"Stege Bugt","Stege Bugt","2009-05-05",6,"5459,998","1213,625","Scoloplos armiger","Ej kendt",0,"0",2009,"2,70"
"Stege Bugt","Stege Bugt","2009-05-05",9,"5459,998","1213,625","Scoloplos armiger","Ej kendt",0,"0",2009,"3,20"
"Stege Bugt","Stege Bugt","2009-05-05",17,"5459,998","1213,625","Scoloplos armiger","Ej kendt",0,"0",2009,"2,60"
"Stege Bugt","Stege Bugt","2009-05-05",20,"5459,998","1213,625","Scoloplos armiger","Ej kendt",0,"0",2009,"2,50"
"Stege Bugt","Stege Bugt","2009-05-05",2,"5459,998","1213,625","Scoloplos armiger","Ej kendt",0,"0",2009,"2,70"
"Stege Bugt","Stege Bugt","2009-05-05",5,"5459,998","1213,625","Scoloplos armiger","Ej kendt",0,"0",2009,"2,20"
