"Vandområde","Lokalitetsnavn","Dato","ODA_prøvenummer","ObsSted_bredde","ObsSted_længde","Artsnavn","Artsrække","Antal_stk","Biomasse_vådvægt_g","year","Depth_m","SampleID","TaxaGroup"
"Stege Bugt","Stege Bugt","2009-05-05",3,"5459,998","1213,625","Scoloplos armiger","Ej kendt",0,"0",2009,"2,60","2009_3","Orbiniidae"
"Stege Bugt","Stege Bugt","2009-05-05",6,"5459,998","1213,625","Scoloplos armiger","Ej kendt",0,"0",2009,"2,70","2009_6","Orbiniidae"
"Stege Bugt","Stege Bugt","2009-05-05",9,"5459,998","1213,625","Scoloplos armiger","Ej kendt",0,"0",2009,"3,20","2009_9","Orbiniidae"
"Stege Bugt","Stege Bugt","2009-05-05",17,"5459,998","1213,625","Scoloplos armiger","Ej kendt",0,"0",2009,"2,60","2009_17","Orbiniidae"
"Stege Bugt","Stege Bugt","2009-05-05",20,"5459,998","1213,625","Scoloplos armiger","Ej kendt",0,"0",2009,"2,50","2009_20","Orbiniidae"
"Stege Bugt","Stege Bugt","2009-05-05",2,"5459,998","1213,625","Scoloplos armiger","Ej kendt",0,"0",2009,"2,70","2009_2","Orbiniidae"
"Stege Bugt","Stege Bugt","2009-05-05",5,"5459,998","1213,625","Scoloplos armiger","Ej kendt",0,"0",2009,"2,20","2009_5","Orbiniidae"
"Stege Bugt","Stege Bugt","2009-05-05",8,"5459,998","1213,625","Scoloplos armiger","Ej kendt",0,"0",2009,"3,10","2009_8","Orbiniidae"
"Stege Bugt","Stege Bugt","2009-05-05",11,"5459,998","1213,625","Scoloplos armiger","Ej kendt",0,"0",2009,"-99,00","2009_11","Orbiniidae"
"Stege Bugt","Stege Bugt","2009-05-05",14,"5459,998","1213,625","Scoloplos armiger","Ej kendt",0,"0",2009,"3,20","2009_14","Orbiniidae"
"Stege Bugt","Stege Bugt","2009-05-05",10,"5459,998","1213,625","Scoloplos armiger","Ej kendt",0,"0",2009,"3,00","2009_10","Orbiniidae"
"Stege Bugt","Stege Bugt","2009-05-05",16,"5459,998","1213,625","Scoloplos armiger","Ej kendt",0,"0",2009,"2,70","2009_16","Orbiniidae"
"Stege Bugt","Stege Bugt","2009-05-05",19,"5459,998","1213,625","Scoloplos armiger","Ej kendt",0,"0",2009,"2,30","2009_19","Orbiniidae"
"Stege Bugt","Stege Bugt","2009-05-05",13,"5459,998","1213,625","Scoloplos armiger","Ej kendt",0,"0",2009,"2,80","2009_13","Orbiniidae"
"Stege Bugt","Stege Bugt","2009-05-05",7,"5459,998","1213,625","Scoloplos armiger","Ej kendt",0,"0",2009,"3,00","2009_7","Orbiniidae"
"Stege Bugt","Stege Bugt","2009-05-05",15,"5459,998","1213,625","Scoloplos armiger","Ej kendt",0,"0",2009,"2,80","2009_15","Orbiniidae"
"Stege Bugt","Stege Bugt","2009-05-05",1,"5459,998","1213,625","Scoloplos armiger","Ej kendt",0,"0",2009,"2,50","2009_1","Orbiniidae"
"Stege Bugt","Stege Bugt","2009-05-05",18,"5459,998","1213,625","Scoloplos armiger","Ej kendt",0,"0",2009,"2,30","2009_18","Orbiniidae"
"Stege Bugt","Stege Bugt","2009-05-05",4,"5459,998","1213,625","Scoloplos armiger","Ej kendt",0,"0",2009,"2,40","2009_4","Orbiniidae"
"Stege Bugt","Stege Bugt","2009-05-05",12,"5459,998","1213,625","Scoloplos armiger","Ej kendt",0,"0",2009,"3,30","2009_12","Orbiniidae"
"Stege Bugt","Stege Bugt","2011-05-17",13,"5459,998","1213,625","Scoloplos armiger","Ej kendt",0,"0",2011,"2,90","2011_13","Orbiniidae"
"Stege Bugt","Stege Bugt","2011-05-17",36,"5459,998","1213,625","Scoloplos armiger","Ej kendt",0,"0",2011,"2,20","2011_36","Orbiniidae"
"Stege Bugt","Stege Bugt","2011-05-17",30,"5459,998","1213,625","Scoloplos armiger","Ej kendt",0,"0",2011,"2,90","2011_30","Orbiniidae"
"Stege Bugt","Stege Bugt","2011-05-17",16,"5459,998","1213,625","Scoloplos armiger","Ej kendt",0,"0",2011,"2,90","2011_16","Orbiniidae"
"Stege Bugt","Stege Bugt","2011-05-17",19,"5459,998","1213,625","Scoloplos armiger","Ej kendt",0,"0",2011,"2,70","2011_19","Orbiniidae"
