"Vandområde","Lokalitetsnavn","Dato","ODA_prøvenummer","ObsSted_bredde","ObsSted_længde","Artsnavn","Artsrække","Antal_stk","Biomasse_vådvægt_g","year","Depth_m"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",3,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2007","3,00"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",6,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2007","2,80"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",9,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2007","3,00"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",17,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2007","2,80"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",20,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2007","3,00"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",19,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2007","3,00"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",2,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2007","2,90"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",5,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2007","2,90"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",8,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2007","3,00"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",11,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2007","2,90"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",14,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2007","3,00"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",13,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2007","2,90"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",7,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2007","2,60"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",16,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2007","2,90"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",10,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2007","3,10"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",18,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2007","3,00"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",12,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2007","2,90"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",4,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2007","2,80"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",1,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2007","2,60"
"Guldborgsund","Guldborg Sund Bredning","2007-05-23",15,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2007","2,90"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",5,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2011","2,50"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",8,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2011","2,71"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",11,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2011","2,10"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",14,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2011","2,89"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",17,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2011","2,10"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",21,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2011","2,59"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",24,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2011","2,80"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",27,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2011","2,01"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",30,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2011","1,80"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",2,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2011","2,41"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",3,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2011","2,71"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",6,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2011","2,71"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",9,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2011","2,59"
"Guldborgsund","Guldborg Sund Bredning","2011-05-16",12,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2011","2,41"
