"Vandområde","Lokalitetsnavn","Dato","ODA_prøvenummer","ObsSted_bredde","ObsSted_længde","Artsnavn","Artsrække","Antal_stk","Biomasse_vådvægt_g","year","Depth_m"
"Stege Bugt","Stege Bugt","2009-05-05",3,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","2,60"
"Stege Bugt","Stege Bugt","2009-05-05",6,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","2,70"
"Stege Bugt","Stege Bugt","2009-05-05",9,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","3,20"
"Stege Bugt","Stege Bugt","2009-05-05",17,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","2,60"
"Stege Bugt","Stege Bugt","2009-05-05",20,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","2,50"
"Stege Bugt","Stege Bugt","2009-05-05",2,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","2,70"
"Stege Bugt","Stege Bugt","2009-05-05",5,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","2,20"
"Stege Bugt","Stege Bugt","2009-05-05",8,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","3,10"
"Stege Bugt","Stege Bugt","2009-05-05",11,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","-99,00"
"Stege Bugt","Stege Bugt","2009-05-05",14,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","3,20"
"Stege Bugt","Stege Bugt","2009-05-05",10,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","3,00"
"Stege Bugt","Stege Bugt","2009-05-05",16,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","2,70"
"Stege Bugt","Stege Bugt","2009-05-05",19,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","2,30"
"Stege Bugt","Stege Bugt","2009-05-05",13,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","2,80"
"Stege Bugt","Stege Bugt","2009-05-05",7,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","3,00"
"Stege Bugt","Stege Bugt","2009-05-05",15,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","2,80"
"Stege Bugt","Stege Bugt","2009-05-05",1,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","2,50"
"Stege Bugt","Stege Bugt","2009-05-05",18,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","2,30"
"Stege Bugt","Stege Bugt","2009-05-05",4,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","2,40"
"Stege Bugt","Stege Bugt","2009-05-05",12,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2009","3,30"
"Stege Bugt","Stege Bugt","2011-05-17",13,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,90"
"Stege Bugt","Stege Bugt","2011-05-17",36,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,20"
"Stege Bugt","Stege Bugt","2011-05-17",30,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,90"
"Stege Bugt","Stege Bugt","2011-05-17",16,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,90"
"Stege Bugt","Stege Bugt","2011-05-17",19,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,70"
"Stege Bugt","Stege Bugt","2011-05-17",42,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,80"
"Stege Bugt","Stege Bugt","2011-05-17",22,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","3,70"
"Stege Bugt","Stege Bugt","2011-05-17",2,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,70"
"Stege Bugt","Stege Bugt","2011-05-17",39,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","1,80"
"Stege Bugt","Stege Bugt","2011-05-17",10,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","3,10"
"Stege Bugt","Stege Bugt","2011-05-17",33,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,90"
"Stege Bugt","Stege Bugt","2011-05-17",14,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","3,30"
"Stege Bugt","Stege Bugt","2011-05-17",37,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,40"
"Stege Bugt","Stege Bugt","2011-05-17",8,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","3,00"
"Stege Bugt","Stege Bugt","2011-05-17",31,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,80"
"Stege Bugt","Stege Bugt","2011-05-17",28,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","3,40"
"Stege Bugt","Stege Bugt","2011-05-17",34,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","2,70"
"Stege Bugt","Stege Bugt","2011-05-17",5,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","4,00"
"Stege Bugt","Stege Bugt","2011-05-17",11,"5459,998","1213,625","Actinia sp.","Ej kendt",0,"0","2011","3,30"
