"","summary(data$Artsnavn, maxsum = 500)"
"Ablabesmyia monilis",280
"Abra alba",280
"Abra nitida",280
"Acanthocardia echinata",280
"Acentropus niveus",280
"Actinia sp.",280
"Akera bullata",280
"Alcyonidium sp.",280
"Alkmaria romijni",280
"Ampharete acutifrons",280
"Ampharete baltica",280
"Ampharete sp.",280
"AMPHARETIDAE",280
"Ampharetidae indet.",280
"AMPHIPODA",280
"Ampithoe rubricata",280
"Angulus tenuis",280
"Antinoella sarsi",280
"Apherusa bispinosa",280
"Arctica islandica",280
"Arenicola marina",280
"Aricidea jeffreysi",280
"Aricidea sp.",280
"Asterias rubens",280
"Balanus crenatus",280
"Balanus improvisus",280
"Balanus sp.",280
"Bathyporeia guilliamsoniana",280
"Bathyporeia sp.",280
"Bittium reticulatum",280
"Bivalvia indet.",280
"BIVALVIA, muslinger",280
"Brachystomia scalaris",280
"Bryozoa indet.",280
"Campanulariidae indet.",280
"Capitella capitata",280
"Capitella sp.",280
"Carcinus maenas",280
"Cerastoderma edule",280
"Cerastoderma glaucum",280
"Cerastoderma sp.",280
"CHIRONOMIDAE",280
"Chironomidae indet.",280
"Chironomini indet.",280
"Chironomus sp.",280
"Ciona intestinalis",280
"Coleoptera indet.",280
"Copepoda indet.",280
"Corbula gibba",280
"Corophium crassicorne",280
"Corophium insidiosum",280
"Corophium sp.",280
"Corophium volutator",280
"Crangon crangon",280
"CRUSTACEA",280
"Cyathura carinata",280
"Dexamine spinosa",280
"Diastylis bradyi",280
"Diastylis rathkei",280
"Echinodermata indet.",280
"Edwardsia sp.",280
"Electra crustulenta",280
"Electra sp.",280
"Ensis americanus",280
"Ensis sp.",280
"Ericthonius brasiliensis",280
"Eteone longa",280
"Eteone sp.",280
"EUALUS",280
"Eulalia bilineata",280
"Eulalia viridis",280
"Exogone naidina",280
"Exogone sp.",280
"Fabricia sp.",280
"Fabricia stellaris",280
"Fabriciinae indet.",280
"Gammarus inaequicauda",280
"Gammarus locusta",280
"Gammarus salinus",280
"Gammarus sp.",280
"Gammarus zaddachi",280
"GASTROPODA, PROSOBRANCHIA, NUDIBRANCHIA",280
"Gastrosaccus spinifer",280
"Gattyana cirrosa",280
"Halicryptus spinulosus",280
"Haminoea sp.",280
"Harmothoe elisabethae",280
"Harmothoe imbricata",280
"Harmothoe impar",280
"Harmothoe sp.",280
"Hediste diversicolor",280
"HESIONIDAE",280
"Hesionidae indet.",280
"Heteromastus filiformis",280
"Heterotanais oerstedii",280
"Hinia reticulata",280
"Hydrobia sp.",280
"Hydrobia ulvae",280
"Hydrobia ventrosa",280
"Hydrozoa indet.",280
"Idotea balthica",280
"Idotea chelipes",280
"Idotea sp.",280
"Idotea viridis",280
"Insecta indet.",280
"Jaera albifrons",280
"Kefersteinia cirrata",280
"Lanassa venusta",280
"Lanice conchilega",280
"Lepidochitona cinereus",280
"Lepidonotus squamatus",280
"Lepidoptera indet.",280
"Leucon nasica",280
"Limapontia sp.",280
"Lineus ruber",280
"Littorina littorea",280
"Littorina saxatilis",280
"Littorina sp.",280
"Lymnaea sp.",280
"Macoma balthica",280
"Macoma calcarea",280
"Macoma sp.",280
"Macroplea mutica",280
"Malacoceros fuliginosus",280
"Maldanidae indet.",280
"Manayunkia aestuarina",280
"Marenzelleria sp.",280
"Marenzelleria viridis",280
"Mediomastus fragilis",280
"Mediomastus sp.",280
"Melita palmata",280
"Metopa sp.",280
"Microdeutopus gryllotalpa",280
"Microdeutopus sp.",280
"Microphthalmus sp.",280
"Modiolarca tumida",280
"Modiolus modiolus",280
"Molgula citrina",280
"Musculus discors",280
"Musculus niger",280
"Musculus sp.",280
"Mya arenaria",280
"Mysella bidentata",280
"Mysidacea indet.",280
"Mysidae indet.",280
"Mytilus edulis",280
"Neanthes sp.",280
"Neanthes succinea",280
"Neanthes virens",280
"Nematoda indet.",280
"Nemertini indet.",280
"NEMERTINI Slimbændler",280
"Neoamphitrite figulus",280
"Neomysis integer",280
"Nephtys caeca",280
"Nephtys ciliata",280
"Nephtys hombergii",280
"Nephtys sp.",280
"Nereididae indet.",280
"Nereimyra punctata",280
"NEREIS",280
"Nudibranchia indet.",280
"Odostomia sp.",280
"Oligochaeta indet.",280
"OLIGOCHAETA, Børsteorme",280
"Onoba aculeus",280
"Onoba sp.",280
"Ophelia borealis",280
"Ophelia rathkei",280
"Ophiodromus flexuosus",280
"Ophisthobranchia indet.",280
"Ophiura albida",280
"Ophiura sp.",280
"Palaemon adspersus",280
"Palaemon sp.",280
"Parvicardium exiguum",280
"Parvicardium hauniense",280
"Parvicardium ovale",280
"Parvicardium sp.",280
"Pectinaria hyperborea",280
"Pectinaria koreni",280
"Pectinaria sp.",280
"Phaxas pellucidus",280
"Philine aperta",280
"Philine sp.",280
"Pholoe assimilis",280
"Pholoe baltica",280
"Pholoe inornata",280
"Pholoe sp.",280
"Phoronis muelleri",280
"Phthisica marina",280
"Phyllodoce groenlandica",280
"Phyllodoce maculata",280
"Phyllodoce mucosa",280
"Phyllodoce sp.",280
"Platynereis dumerilii",280
"Podocoryne carnea",280
"Polychaeta indet.",280
"POLYCHAETA, Havbørsteorme",280
"Polydora caeca",280
"Polydora ciliata",280
"Polydora cornuta",280
"Polydora quadrilobata",280
"Polydora sp.",280
"Pontoporeia femorata",280
"Porifera indet.",280
"Potamopyrgus antipodarum",280
"Praunus flexuosus",280
"Priapulus caudatus",280
"Prionospio sp.",280
"Procerodes littoralis",280
"Procladius sp.",280
"Prosobranchia indet.",280
"Pseudopolydora antennata",280
"Pusillina sarsi",280
"Pygospio elegans",280
"Radix peregra",280
"Retusa obtusa",280
"Retusa sp.",280
"Retusa truncatula",280
"Rhithropanopeus harrisii",280
"Rissoa membranacea",280
"Rissoa sp.",280
"Scalibregma inflatum",280
"Scoloplos armiger",280
"Scrobicularia plana",280
"SEMELIDAE",280
"Sphaeroma hookeri",280
"Sphaeroma rugicauda",280
"Spio filicornis",280
"Spionidae indet.",280
"Spiophanes bombyx",280
"Spirorbis sp.",280
"Spirorbis spirorbis",280
"Streblospio shrubsolii",280
"Streptosyllis websteri",280
"SYLLIDAE",280
"Syllidia armata",280
"Syllidia sp.",280
"Synelmis klatti",280
"Tanaidacea indet.",280
"Tanypodinae indet.",280
"Tanytarsini indet.",280
"Terebellides stroemi",280
"Theodoxus fluviatilis",280
"Trichoptera indet.",280
"Trochochaeta multisetosa",280
"Tubifex costatus",280
"Tubificidae indet.",280
"Tubificoides benedii",280
"Tubificoides sp.",280
"Turbellaria indet.",280
"Turritella communis",280
