"","summary(speciesnames_classified$Artsnavn, maxsum = 500)"
"Ablabesmyia monilis",0
"Abra alba",0
"Abra nitida",0
"Acanthocardia echinata",0
"Acentropus niveus",0
"Actinia sp.",0
"Akera bullata",0
"Alcyonidium sp.",0
"Alkmaria romijni",0
"Ampharete acutifrons",0
"Ampharete baltica",0
"Ampharete sp.",0
"AMPHARETIDAE",0
"Ampharetidae indet.",0
"AMPHIPODA",0
"Ampithoe rubricata",280
"Angulus tenuis",0
"Antinoella sarsi",0
"Apherusa bispinosa",0
"Arctica islandica",0
"Arenicola marina",280
"Aricidea jeffreysi",0
"Aricidea sp.",0
"Asterias rubens",0
"Balanus crenatus",0
"Balanus improvisus",0
"Balanus sp.",0
"Bathyporeia guilliamsoniana",0
"Bathyporeia sp.",0
"Bittium reticulatum",0
"Bivalvia indet.",0
"BIVALVIA, muslinger",0
"Brachystomia scalaris",0
"Bryozoa indet.",0
"Campanulariidae indet.",0
"Capitella capitata",0
"Capitella sp.",0
"Carcinus maenas",0
"Cerastoderma edule",280
"Cerastoderma glaucum",280
"Cerastoderma sp.",0
"CHIRONOMIDAE",280
"Chironomidae indet.",280
"Chironomini indet.",0
"Chironomus sp.",280
"Ciona intestinalis",0
"Coleoptera indet.",0
"Copepoda indet.",0
"Corbula gibba",0
"Corophium crassicorne",0
"Corophium insidiosum",280
"Corophium sp.",0
"Corophium volutator",280
"Crangon crangon",0
"CRUSTACEA",0
"Cyathura carinata",280
"Dexamine spinosa",0
"Diastylis bradyi",0
"Diastylis rathkei",0
"Echinodermata indet.",0
"Edwardsia sp.",0
"Electra crustulenta",0
"Electra sp.",0
"Ensis americanus",0
"Ensis sp.",0
"Ericthonius brasiliensis",0
"Eteone longa",0
"Eteone sp.",0
"EUALUS",0
"Eulalia bilineata",0
"Eulalia viridis",0
"Exogone naidina",0
"Exogone sp.",0
"Fabricia sp.",0
"Fabricia stellaris",280
"Fabriciinae indet.",280
"Gammarus inaequicauda",280
"Gammarus locusta",280
"Gammarus salinus",280
"Gammarus sp.",280
"Gammarus zaddachi",0
"GASTROPODA, PROSOBRANCHIA, NUDIBRANCHIA",0
"Gastrosaccus spinifer",0
"Gattyana cirrosa",0
"Halicryptus spinulosus",0
"Haminoea sp.",0
"Harmothoe elisabethae",0
"Harmothoe imbricata",0
"Harmothoe impar",0
"Harmothoe sp.",0
"Hediste diversicolor",280
"HESIONIDAE",0
"Hesionidae indet.",0
"Heteromastus filiformis",280
"Heterotanais oerstedii",0
"Hinia reticulata",0
"Hydrobia sp.",280
"Hydrobia ulvae",280
"Hydrobia ventrosa",280
"Hydrozoa indet.",280
"Idotea balthica",280
"Idotea chelipes",280
