Vandområde;MarinReferenceKode;Lokalitetsnavn;ObservationsStedNr;ObservationsStedNavn;MC-stationsnr;Dato;Tid;Antal delprøver (stk);Prøvenummer;Dybde (m);Prøvetagningsudstyr;Prøveredskabsareal (cm2);Haps breddegrad;Haps længdegrad;Haps X_UTM;Haps Y_UTM;Karakter dybde (cm);Farve;Lugt;Oxideret lag (mm);Karakter beskrivelse;Mudder;Ler < 0.040 mm;Silt, 0.040-0.063 mm;Sand, fint 0.125-0.250 mm;Sand, mellem 0.250-0.500 mm;Sand, groft 0.5-1 mm;Grus, fint 1-2 mm;Grus groft > 2 mm;Alle kornstørrelser;Kontrol;Kvalitet;ObsSted_bredde;ObsSted_længde;ObsSted_X_UTM;ObsSted_Y_UTM
"Smålandsfarvandet, åbne del";"622 ";"Karrebæksminde Bugt";"96220322";"622 Karrebæksminde Bugt";"BF Karrebæksminde Bugt";"2000-05-03";"0";"22";"39";"13,10";"Haps";"143";"5507,471";"1129,304";"658669";"6111475";"15";"Brun";"Ingen lugt";"1";" ";"DOM";"";"";"";"";"";"";"";"";"ElekK";"GODK";"5508,870";"1131,926";"661360";"6114169"
"Smålandsfarvandet, åbne del";"622 ";"Karrebæksminde Bugt";"96220322";"622 Karrebæksminde Bugt";"BF Karrebæksminde Bugt";"2000-05-03";"0";"22";"33";"12,60";"Haps";"143";"5507,898";"1131,594";"661073";"6112354";"20";"Brun";"Ingen lugt";"10";" ";"DOM";"FOR";"";"";"";"";"";"";"";"ElekK";"GODK";"5508,870";"1131,926";"661360";"6114169"
"Smålandsfarvandet, åbne del";"622 ";"Karrebæksminde Bugt";"96220322";"622 Karrebæksminde Bugt";"BF Karrebæksminde Bugt";"2000-05-03";"0";"22";"42";"12,60";"Haps";"143";"5507,476";"1131,586";"661093";"6111571";"15";"Mørk grå";"Ingen lugt";"1";" ";"DOM";"FOR";"";"";"";"";"";"";"";"ElekK";"GODK";"5508,870";"1131,926";"661360";"6114169"
"Smålandsfarvandet, åbne del";"622 ";"Karrebæksminde Bugt";"96220322";"622 Karrebæksminde Bugt";"BF Karrebæksminde Bugt";"2000-05-03";"0";"22";"36";"12,30";"Haps";"143";"5507,900";"1133,856";"663476";"6112446";"18";"Brun";"Ingen lugt";"1";" ";"DOM";"FOR";"";"";"";"";"";"";"";"ElekK";"GODK";"5508,870";"1131,926";"661360";"6114169"
"Smålandsfarvandet, åbne del";"622 ";"Karrebæksminde Bugt";"96220322";"622 Karrebæksminde Bugt";"BF Karrebæksminde Bugt";"2000-05-03";"0";"22";"25";"12,20";"Haps";"143";"5508,342";"1132,338";"661834";"6113206";"20";"Brun";"Ingen lugt";"10";" ";"DOM";"FOR";"";"";"";"";"";"";"";"ElekK";"GODK";"5508,870";"1131,926";"661360";"6114169"
"Smålandsfarvandet, åbne del";"622 ";"Karrebæksminde Bugt";"96220322";"622 Karrebæksminde Bugt";"BF Karrebæksminde Bugt";"2000-05-03";"0";"22";"45";"12,20";"Haps";"143";"5507,474";"1133,819";"663466";"6111654";"15";"Mørk grå";"Ingen lugt";"1";" ";"DOM";"FOR";"";"";"";"";"";"";"";"ElekK";"GODK";"5508,870";"1131,926";"661360";"6114169"
"Smålandsfarvandet, åbne del";"622 ";"Karrebæksminde Bugt";"96220322";"622 Karrebæksminde Bugt";"BF Karrebæksminde Bugt";"2000-05-03";"0";"22";"37";"13,60";"Haps";"143";"5507,476";"1127,764";"657032";"6111426";"15";"Brun";"Ingen lugt";"10";" ";"DOM";"FOR";"";"";"";"";"";"";"";"ElekK";"GODK";"5508,870";"1131,926";"661360";"6114169"
"Smålandsfarvandet, åbne del";"622 ";"Karrebæksminde Bugt";"96220322";"622 Karrebæksminde Bugt";"BF Karrebæksminde Bugt";"2000-05-03";"0";"22";"31";"12,80";"Haps";"143";"5507,898";"1130,099";"659485";"6112297";"20";"Brun";"Svovlbrinte";"15";" ";"DOM";"";"";"";"";"";"";"";"";"ElekK";"GODK";"5508,870";"1131,926";"661360";"6114169"
"Smålandsfarvandet, åbne del";"622 ";"Karrebæksminde Bugt";"96220322";"622 Karrebæksminde Bugt";"BF Karrebæksminde Bugt";"2000-05-03";"0";"22";"28";"13,60";"Haps";"143";"5507,918";"1127,776";"657016";"6112246";"20";"Brun";"Svag svovlbrinte";"20";" ";"DOM";"";"";"";"";"";"";"";"";"ElekK";"GODK";"5508,870";"1131,926";"661360";"6114169"
"Smålandsfarvandet, åbne del";"622 ";"Karrebæksminde Bugt";"96220322";"622 Karrebæksminde Bugt";"BF Karrebæksminde Bugt";"2000-05-03";"0";"22";"40";"12,90";"Haps";"143";"5507,464";"1130,055";"659467";"6111491";"15";"Brun";"Ingen lugt";"20";" ";"DOM";"FOR";"";"";"";"";"";"";"";"ElekK";"GODK";"5508,870";"1131,926";"661360";"6114169"
"Smålandsfarvandet, åbne del";"622 ";"Karrebæksminde Bugt";"96220322";"622 Karrebæksminde Bugt";"BF Karrebæksminde Bugt";"2000-05-03";"0";"22";"34";"12,50";"Haps";"143";"5507,911";"1132,355";"661881";"6112408";"18";"Brun";"Ingen lugt";"20";" ";"DOM";"ALM";"";"";"";"";"";"";"";"ElekK";"GODK";"5508,870";"1131,926";"661360";"6114169"
"Smålandsfarvandet, åbne del";"622 ";"Karrebæksminde Bugt";"96220322";"622 Karrebæksminde Bugt";"BF Karrebæksminde Bugt";"2000-05-03";"0";"22";"43";"12,40";"Haps";"143";"5507,463";"1132,343";"661898";"6111577";"15";"Mørk grå";"Ingen lugt";"1";" ";"DOM";"FOR";"";"";"";"";"";"";"";"ElekK";"GODK";"5508,870";"1131,926";"661360";"6114169"
"Smålandsfarvandet, åbne del";"622 ";"Karrebæksminde Bugt";"96220322";"622 Karrebæksminde Bugt";"BF Karrebæksminde Bugt";"2000-05-03";"0";"22";"24";"11,20";"Haps";"143";"5508,342";"1131,563";"661010";"6113176";"20";"Mørk grå";"Ingen lugt";"15";" ";"DOM";"FOR";"";"";"";"";"";"";"";"ElekK";"GODK";"5508,870";"1131,926";"661360";"6114169"
"Smålandsfarvandet, åbne del";"622 ";"Karrebæksminde Bugt";"96220322";"622 Karrebæksminde Bugt";"BF Karrebæksminde Bugt";"2000-05-03";"0";"22";"27";"12,30";"Haps";"143";"5508,328";"1133,846";"663436";"6113239";"20";"Brun";"Ingen lugt";"10";" ";"DOM";"FOR";"";"";"";"";"";"";"";"ElekK";"GODK";"5508,870";"1131,926";"661360";"6114169"
"Smålandsfarvandet, åbne del";"622 ";"Karrebæksminde Bugt";"96220322";"622 Karrebæksminde Bugt";"BF Karrebæksminde Bugt";"2000-05-03";"0";"22";"30";"13,00";"Haps";"143";"5507,896";"1129,323";"658661";"6112264";"20";"Brun";"Svag svovlbrinte";"5";" ";"DOM";"FOR";"";"";"";"";"";"";"";"ElekK";"GODK";"5508,870";"1131,926";"661360";"6114169"
"Smålandsfarvandet, åbne del";"622 ";"Karrebæksminde Bugt";"96220322";"622 Karrebæksminde Bugt";"BF Karrebæksminde Bugt";"2000-05-03";"0";"22";"38";"13,40";"Haps";"143";"5507,467";"1128,546";"657864";"6111439";"15";"Brun";"Ingen lugt";"20";" ";"DOM";"";"";"";"";"";"";"";"";"ElekK";"GODK";"5508,870";"1131,926";"661360";"6114169"
"Smålandsfarvandet, åbne del";"622 ";"Karrebæksminde Bugt";"96220322";"622 Karrebæksminde Bugt";"BF Karrebæksminde Bugt";"2000-05-03";"0";"22";"41";"12,70";"Haps";"143";"5507,482";"1130,826";"660285";"6111553";"15";"Brun";"Ingen lugt";"20";" ";"DOM";"FOR";"";"";"";"";"";"";"";"ElekK";"GODK";"5508,870";"1131,926";"661360";"6114169"
"Smålandsfarvandet, åbne del";"622 ";"Karrebæksminde Bugt";"96220322";"622 Karrebæksminde Bugt";"BF Karrebæksminde Bugt";"2000-05-03";"0";"22";"44";"12,30";"Haps";"143";"5507,471";"1133,081";"662682";"6111620";"15";"Mørk grå";"Ingen lugt";"1";" ";"DOM";"FOR";"";"";"";"";"";"";"";"ElekK";"GODK";"5508,870";"1131,926";"661360";"6114169"
"Smålandsfarvandet, åbne del";"622 ";"Karrebæksminde Bugt";"96220322";"622 Karrebæksminde Bugt";"BF Karrebæksminde Bugt";"2000-05-03";"0";"22";"26";"12,30";"Haps";"143";"5508,344";"1133,086";"662628";"6113239";"20";"Brun";"Ingen lugt";"10";" ";"DOM";"";"";"";"";"";"";"";"";"ElekK";"GODK";"5508,870";"1131,926";"661360";"6114169"
