Vandområde;Artsnavn;Antal;Biomasse;TAXA_include_as;Trivialnavn;GDI_notes
Guldborgsund;Ablabesmyia monilis;0;0;;;incl taxa with 10 or more entries
Guldborgsund;Abra alba;0;0;;;
Guldborgsund;Abra nitida;0;0;;;
Guldborgsund;Acanthocardia echinata;0;0;;;
Guldborgsund;Acentropus niveus;10;0.0944;;;
Guldborgsund;Actinia sp.;0;0;;;
Guldborgsund;Akera bullata;0;0;;;
Guldborgsund;Alcyonidium sp.;0;0;;;
Guldborgsund;Alkmaria romijni;0;0;;;
Guldborgsund;Ampharete acutifrons;0;0;;;
Guldborgsund;Ampharete baltica;0;0;;;
Guldborgsund;Ampharete sp.;0;0;;;
Guldborgsund;AMPHARETIDAE;0;0;;;
Guldborgsund;Ampharetidae indet.;0;0;;;
Guldborgsund;AMPHIPODA;0;0;;;
Guldborgsund;Ampithoe rubricata;2;0.0201;Amphipoda;Tanglopper;
Guldborgsund;Angulus tenuis;0;0;;;
Guldborgsund;Antinoella sarsi;0;0;;;
Guldborgsund;Apherusa bispinosa;0;0;;;
Guldborgsund;Arctica islandica;0;0;;;
Guldborgsund;Arenicola marina;4;1.1159;Arenicola marina;Sandorme;Polychaeta havbørsteorme
Guldborgsund;Aricidea jeffreysi;0;0;;;
Guldborgsund;Aricidea sp.;0;0;;;
Guldborgsund;Asterias rubens;0;0;;;
Guldborgsund;Balanus crenatus;0;0;;;
Guldborgsund;Balanus improvisus;0;0;;;
Guldborgsund;Balanus sp.;0;0;;;
Guldborgsund;Bathyporeia guilliamsoniana;0;0;;;
Guldborgsund;Bathyporeia sp.;0;0;;;
Guldborgsund;Bittium reticulatum;0;0;;;
Guldborgsund;Bivalvia indet.;0;0;;;
Guldborgsund;BIVALVIA, muslinger;0;0;;;
Guldborgsund;Brachystomia scalaris;0;0;;;
Guldborgsund;Bryozoa indet.;0;0;;;
Guldborgsund;Campanulariidae indet.;2;0.0427;;;hydroider
Guldborgsund;Capitella capitata;0;0;;;
Guldborgsund;Capitella sp.;0;0;;;
Guldborgsund;Carcinus maenas;0;0;;;
Guldborgsund;Cerastoderma edule;1;1.6363;Cardiidae;Hjertemuslinger;Cardiidae
Guldborgsund;Cerastoderma glaucum;229;15.5266;Cardiidae;Hjertemuslinger;Cardiidae
Guldborgsund;Cerastoderma sp.;0;0;;;
Guldborgsund;CHIRONOMIDAE;0;0;;;
Guldborgsund;Chironomidae indet.;956;4.7043;Chironomidae;Myggelarver;
Guldborgsund;Chironomini indet.;0;0;;;
Guldborgsund;Chironomus sp.;613;2.3158;Chironomidae;Myggelarver;
Guldborgsund;Ciona intestinalis;0;0;;;
Guldborgsund;Coleoptera indet.;0;0;;;
Guldborgsund;Copepoda indet.;0;0;;;
Guldborgsund;Corbula gibba;0;0;;;
Guldborgsund;Corophium crassicorne;0;0;;;
Guldborgsund;Corophium insidiosum;74;0.0544;Amphipoda;Tanglopper;
Guldborgsund;Corophium sp.;0;0;;;
Guldborgsund;Corophium volutator;1;0.012;Amphipoda;Tanglopper;
Guldborgsund;Crangon crangon;1;1.2277;;;hesterejer for få individer
Guldborgsund;CRUSTACEA;0;0;;;
Guldborgsund;Cyathura carinata;1;0.0122;;;
Guldborgsund;Dexamine spinosa;0;0;;;
Guldborgsund;Diastylis bradyi;0;0;;;
Guldborgsund;Diastylis rathkei;0;0;;;
Guldborgsund;Echinodermata indet.;0;0;;;
Guldborgsund;Edwardsia sp.;0;0;;;
Guldborgsund;Electra crustulenta;31;0.3306;;;mosdyr epifauna
Guldborgsund;Electra sp.;0;0;;;
Guldborgsund;Ensis americanus;0;0;;;
Guldborgsund;Ensis sp.;0;0;;;
Guldborgsund;Ericthonius brasiliensis;0;0;;;
Guldborgsund;Eteone longa;1;0.0028;;;Phyllodocida
Guldborgsund;Eteone sp.;0;0;;;
Guldborgsund;EUALUS;0;0;;;
Guldborgsund;Eulalia bilineata;0;0;;;
Guldborgsund;Eulalia viridis;0;0;;;
Guldborgsund;Exogone naidina;0;0;;;
Guldborgsund;Exogone sp.;0;0;;;
Guldborgsund;Fabricia sp.;0;0;;;
Guldborgsund;Fabricia stellaris;2;0.0015;Sabellida;Sabellider;
Guldborgsund;Fabriciinae indet.;3;2.00E-04;Sabellida;Sabellider;
Guldborgsund;Gammarus inaequicauda;6;0.2276;Amphipoda;Tanglopper;
Guldborgsund;Gammarus locusta;41;0.4477;Amphipoda;Tanglopper;
Guldborgsund;Gammarus salinus;89;1.5434;Amphipoda;Tanglopper;
Guldborgsund;Gammarus sp.;6;0.0552;Amphipoda;Tanglopper;
Guldborgsund;Gammarus zaddachi;0;0;;;
Guldborgsund;GASTROPODA, PROSOBRANCHIA, NUDIBRANCHIA;0;0;;;
Guldborgsund;Gastrosaccus spinifer;0;0;;;
Guldborgsund;Gattyana cirrosa;0;0;;;
Guldborgsund;Halicryptus spinulosus;0;0;;;
Guldborgsund;Haminoea sp.;0;0;;;
Guldborgsund;Harmothoe elisabethae;0;0;;;
Guldborgsund;Harmothoe imbricata;0;0;;;
Guldborgsund;Harmothoe impar;0;0;;;
Guldborgsund;Harmothoe sp.;0;0;;;
Guldborgsund;Hediste diversicolor;72;4.7161;Nereididae;Nereide havbørsteorme;
Guldborgsund;HESIONIDAE;0;0;;;
Guldborgsund;Hesionidae indet.;0;0;;;
Guldborgsund;Heteromastus filiformis;93;1.444;Capitellidae;Capitellide havbørsteorme;
Guldborgsund;Heterotanais oerstedii;0;0;;;
Guldborgsund;Hinia reticulata;0;0;;;
Guldborgsund;Hydrobia sp.;620;3.4668;Littorinimorpha (small);Dyndsnegle;
Guldborgsund;Hydrobia ulvae;14;0.0821;Littorinimorpha (small);Dyndsnegle;
Guldborgsund;Hydrobia ventrosa;0;0;Littorinimorpha (small);Dyndsnegle;
Guldborgsund;Hydrozoa indet.;0;0;Littorinimorpha (small);Dyndsnegle;
Guldborgsund;Idotea balthica;113;1.2235;Isopoda;Tanglus;
Guldborgsund;Idotea chelipes;39;0.5652;Isopoda;Tanglus;
Guldborgsund;Idotea sp.;0;0;;;
Guldborgsund;Idotea viridis;0;0;;;
Guldborgsund;Insecta indet.;0;0;;;
Guldborgsund;Jaera albifrons;74;0.1098;Isopoda;Tanglus;
Guldborgsund;Kefersteinia cirrata;0;0;;;
Guldborgsund;Lanassa venusta;0;0;;;
Guldborgsund;Lanice conchilega;0;0;;;
Guldborgsund;Lepidochitona cinereus;0;0;;;
Guldborgsund;Lepidonotus squamatus;0;0;;;
Guldborgsund;Lepidoptera indet.;0;0;;;
Guldborgsund;Leucon nasica;0;0;;;
Guldborgsund;Limapontia sp.;0;0;;;
Guldborgsund;Lineus ruber;0;0;;;
Guldborgsund;Littorina littorea;0;0;;;
Guldborgsund;Littorina saxatilis;18;0.4601;Littorinimorpha (large);Strandsnegle;Littorina Lacuna
Guldborgsund;Littorina sp.;0;0;;;
Guldborgsund;Lymnaea sp.;11;0.5911;Lymnaeidae;Mosesnegle;ferskvandssnegle
Guldborgsund;Macoma balthica;7;1.4763;Macoma balthica;Østersømusling;
Guldborgsund;Macoma calcarea;0;0;;;
Guldborgsund;Macoma sp.;0;0;;;
Guldborgsund;Macroplea mutica;17;0.3659;;;bladbiller
Guldborgsund;Malacoceros fuliginosus;0;0;;;
Guldborgsund;Maldanidae indet.;0;0;;;
Guldborgsund;Manayunkia aestuarina;14;0.0071;Sabellida;Sabellide havbørsteorme;
Guldborgsund;Marenzelleria sp.;0;0;;;
Guldborgsund;Marenzelleria viridis;2;0.238;;;Havbørsteorme i brakvand
Guldborgsund;Mediomastus fragilis;0;0;;;
Guldborgsund;Mediomastus sp.;0;0;;;
Guldborgsund;Melita palmata;7;0.016;Amphipoda;Amphipoder, andre;
Guldborgsund;Metopa sp.;0;0;;;
Guldborgsund;Microdeutopus gryllotalpa;758;1.0381;Amphipoda;Tanglopper;
Guldborgsund;Microdeutopus sp.;0;0;;;
Guldborgsund;Microphthalmus sp.;0;0;;;
Guldborgsund;Modiolarca tumida;0;0;;;
Guldborgsund;Modiolus modiolus;0;0;;;
Guldborgsund;Molgula citrina;0;0;;;
Guldborgsund;Musculus discors;0;0;;;
Guldborgsund;Musculus niger;0;0;;;
Guldborgsund;Musculus sp.;0;0;;;
Guldborgsund;Mya arenaria;14;6.082;Mya arenaria;Sandmuslinger;
Guldborgsund;Mysella bidentata;0;0;;;
Guldborgsund;Mysidacea indet.;0;0;;;
Guldborgsund;Mysidae indet.;0;0;;;
Guldborgsund;Mytilus edulis;200;78.4313;Mytilus edulis;Blåmuslinger;
Guldborgsund;Neanthes sp.;0;0;;;
Guldborgsund;Neanthes succinea;0;0;;;
Guldborgsund;Neanthes virens;0;0;;;
Guldborgsund;Nematoda indet.;2;2.00E-04;;;rundorme
Guldborgsund;Nemertini indet.;45;0.6065;;;slimbændler
Guldborgsund;NEMERTINI Slimbændler;0;0;;;
Guldborgsund;Neoamphitrite figulus;0;0;;;
Guldborgsund;Neomysis integer;0;0;;;
Guldborgsund;Nephtys caeca;0;0;;;
Guldborgsund;Nephtys ciliata;0;0;;;
Guldborgsund;Nephtys hombergii;0;0;;;
Guldborgsund;Nephtys sp.;0;0;;;
Guldborgsund;Nereididae indet.;7;0.9389;Nereididae;Nereide havbørsteorme;Havbørsteorm
Guldborgsund;Nereimyra punctata;0;0;;;
Guldborgsund;NEREIS;0;0;;;
Guldborgsund;Nudibranchia indet.;0;0;;;
Guldborgsund;Odostomia sp.;0;0;;;
Guldborgsund;Oligochaeta indet.;40;0.0497;Tubificidae;Slamrørsorme;Tubifex eller Tubificoides
Guldborgsund;OLIGOCHAETA, Børsteorme;0;0;;;
Guldborgsund;Onoba aculeus;0;0;;;
Guldborgsund;Onoba sp.;0;0;;;
Guldborgsund;Ophelia borealis;0;0;;;
Guldborgsund;Ophelia rathkei;0;0;;;
Guldborgsund;Ophiodromus flexuosus;0;0;;;
Guldborgsund;Ophisthobranchia indet.;0;0;;;
Guldborgsund;Ophiura albida;0;0;;;
