"","summary(speciesnames_absent$Artsnavn, maxsum = 500)"
"Ablabesmyia monilis",0
"Abra alba",0
"Abra nitida",0
"Acanthocardia echinata",0
"Acentropus niveus",4
"Actinia sp.",0
"Akera bullata",0
"Alcyonidium sp.",0
"Alkmaria romijni",0
"Ampharete acutifrons",0
"Ampharete baltica",0
"Ampharete sp.",0
"AMPHARETIDAE",0
"Ampharetidae indet.",0
"AMPHIPODA",0
"Ampithoe rubricata",4
"Angulus tenuis",0
"Antinoella sarsi",0
"Apherusa bispinosa",0
"Arctica islandica",0
"Arenicola marina",6
"Aricidea jeffreysi",0
"Aricidea sp.",0
"Asterias rubens",0
"Balanus crenatus",0
"Balanus improvisus",0
"Balanus sp.",1
"Bathyporeia guilliamsoniana",0
"Bathyporeia sp.",0
"Bittium reticulatum",0
"Bivalvia indet.",0
"BIVALVIA, muslinger",0
"Brachystomia scalaris",0
"Bryozoa indet.",0
"Campanulariidae indet.",3
"Capitella capitata",0
"Capitella sp.",0
"Carcinus maenas",0
"Cerastoderma edule",2
"Cerastoderma glaucum",68
"Cerastoderma sp.",0
"CHIRONOMIDAE",2
"Chironomidae indet.",144
"Chironomini indet.",0
"Chironomus sp.",42
"Ciona intestinalis",0
"Coleoptera indet.",0
"Copepoda indet.",0
"Corbula gibba",0
"Corophium crassicorne",0
"Corophium insidiosum",35
"Corophium sp.",0
"Corophium volutator",12
"Crangon crangon",1
"CRUSTACEA",0
"Cyathura carinata",36
"Dexamine spinosa",0
"Diastylis bradyi",0
"Diastylis rathkei",0
"Echinodermata indet.",0
"Edwardsia sp.",0
"Electra crustulenta",59
"Electra sp.",0
"Ensis americanus",0
"Ensis sp.",0
"Ericthonius brasiliensis",0
"Eteone longa",1
"Eteone sp.",0
"EUALUS",0
"Eulalia bilineata",0
"Eulalia viridis",0
"Exogone naidina",0
"Exogone sp.",0
"Fabricia sp.",0
"Fabricia stellaris",3
"Fabriciinae indet.",1
"Gammarus inaequicauda",2
"Gammarus locusta",35
"Gammarus salinus",41
"Gammarus sp.",4
"Gammarus zaddachi",0
"GASTROPODA, PROSOBRANCHIA, NUDIBRANCHIA",0
"Gastrosaccus spinifer",0
"Gattyana cirrosa",0
"Halicryptus spinulosus",0
"Haminoea sp.",0
"Harmothoe elisabethae",0
"Harmothoe imbricata",0
"Harmothoe impar",0
"Harmothoe sp.",0
"Hediste diversicolor",147
"HESIONIDAE",0
"Hesionidae indet.",0
"Heteromastus filiformis",48
"Heterotanais oerstedii",1
"Hinia reticulata",0
"Hydrobia sp.",134
"Hydrobia ulvae",24
"Hydrobia ventrosa",37
"Hydrozoa indet.",0
"Idotea balthica",76
"Idotea chelipes",15
